mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.02671513557434082,0.006822390075616946,0.010433435440063477,0.0030554773045589254,0.1,200,lbfgs,"{'C': 0.1, 'max_iter': 200, 'solver': 'lbfgs'}",0.9438202247191011,0.9241573033707865,0.9241573033707865,0.9185393258426966,0.9295774647887324,0.9280503244184205,0.008623134382185019,13
0.036160755157470706,0.005104205735168517,0.007295989990234375,0.004228468977806146,0.1,200,saga,"{'C': 0.1, 'max_iter': 200, 'solver': 'saga'}",0.9438202247191011,0.9241573033707865,0.9241573033707865,0.9185393258426966,0.9295774647887324,0.9280503244184205,0.008623134382185019,13
0.03499155044555664,0.003245277472550031,0.007952737808227538,0.0030551158802548405,0.1,500,lbfgs,"{'C': 0.1, 'max_iter': 500, 'solver': 'lbfgs'}",0.9438202247191011,0.9241573033707865,0.9241573033707865,0.9185393258426966,0.9295774647887324,0.9280503244184205,0.008623134382185019,13
0.03386521339416504,0.0023848584227646142,0.011700248718261719,0.0025641921822384937,0.1,500,saga,"{'C': 0.1, 'max_iter': 500, 'solver': 'saga'}",0.9438202247191011,0.9241573033707865,0.9241573033707865,0.9185393258426966,0.9295774647887324,0.9280503244184205,0.008623134382185019,13
0.035890626907348636,0.0009067253145311186,0.009189701080322266,0.0016749724989135195,0.1,1000,lbfgs,"{'C': 0.1, 'max_iter': 1000, 'solver': 'lbfgs'}",0.9438202247191011,0.9241573033707865,0.9241573033707865,0.9185393258426966,0.9295774647887324,0.9280503244184205,0.008623134382185019,13
0.04412970542907715,0.008372240938035382,0.009775066375732422,0.005461141791806209,0.1,1000,saga,"{'C': 0.1, 'max_iter': 1000, 'solver': 'saga'}",0.9438202247191011,0.9241573033707865,0.9241573033707865,0.9185393258426966,0.9295774647887324,0.9280503244184205,0.008623134382185019,13
0.03926219940185547,0.006999297947205688,0.007432985305786133,0.0031379237162593885,1.0,200,lbfgs,"{'C': 1, 'max_iter': 200, 'solver': 'lbfgs'}",0.9578651685393258,0.9353932584269663,0.9325842696629213,0.9213483146067416,0.9352112676056338,0.9364804557683177,0.011868114755525452,7
0.04851975440979004,0.009613339501924898,0.009947395324707032,0.0037901958653572014,1.0,200,saga,"{'C': 1, 'max_iter': 200, 'solver': 'saga'}",0.9578651685393258,0.9353932584269663,0.9325842696629213,0.9213483146067416,0.9352112676056338,0.9364804557683177,0.011868114755525452,7
0.03580970764160156,0.0038069411625302235,0.009223747253417968,0.00510676652061041,1.0,500,lbfgs,"{'C': 1, 'max_iter': 500, 'solver': 'lbfgs'}",0.9578651685393258,0.9353932584269663,0.9325842696629213,0.9213483146067416,0.9352112676056338,0.9364804557683177,0.011868114755525452,7
0.04715142250061035,0.004690453006768062,0.006827020645141601,0.004428546774159879,1.0,500,saga,"{'C': 1, 'max_iter': 500, 'solver': 'saga'}",0.9578651685393258,0.9353932584269663,0.9325842696629213,0.9213483146067416,0.9352112676056338,0.9364804557683177,0.011868114755525452,7
0.04573283195495605,0.007523138769765434,0.013336467742919921,0.005679745023124875,1.0,1000,lbfgs,"{'C': 1, 'max_iter': 1000, 'solver': 'lbfgs'}",0.9578651685393258,0.9353932584269663,0.9325842696629213,0.9213483146067416,0.9352112676056338,0.9364804557683177,0.011868114755525452,7
0.07546958923339844,0.008584702890671505,0.011283445358276366,0.006605710355572245,1.0,1000,saga,"{'C': 1, 'max_iter': 1000, 'solver': 'saga'}",0.9578651685393258,0.9353932584269663,0.9325842696629213,0.9213483146067416,0.9352112676056338,0.9364804557683177,0.011868114755525452,7
0.03127145767211914,0.005862312522349947,0.014173030853271484,0.009151959493752217,10.0,200,lbfgs,"{'C': 10, 'max_iter': 200, 'solver': 'lbfgs'}",0.9606741573033708,0.9410112359550562,0.9325842696629213,0.9241573033707865,0.9295774647887324,0.9376008862161734,0.012761488759312226,1
0.19261608123779297,0.07101550683634318,0.00912628173828125,0.005358772156362909,10.0,200,saga,"{'C': 10, 'max_iter': 200, 'solver': 'saga'}",0.9606741573033708,0.9410112359550562,0.9325842696629213,0.9241573033707865,0.9295774647887324,0.9376008862161734,0.012761488759312226,1
0.04404516220092773,0.007657058693307967,0.009625005722045898,0.005025245273774863,10.0,500,lbfgs,"{'C': 10, 'max_iter': 500, 'solver': 'lbfgs'}",0.9606741573033708,0.9410112359550562,0.9325842696629213,0.9241573033707865,0.9295774647887324,0.9376008862161734,0.012761488759312226,1
0.17273468971252443,0.020735354968530028,0.008920431137084961,0.004933530147972753,10.0,500,saga,"{'C': 10, 'max_iter': 500, 'solver': 'saga'}",0.9606741573033708,0.9410112359550562,0.9325842696629213,0.9241573033707865,0.9295774647887324,0.9376008862161734,0.012761488759312226,1
0.026897382736206055,0.008485664123707196,0.007898426055908203,0.004510894470915896,10.0,1000,lbfgs,"{'C': 10, 'max_iter': 1000, 'solver': 'lbfgs'}",0.9606741573033708,0.9410112359550562,0.9325842696629213,0.9241573033707865,0.9295774647887324,0.9376008862161734,0.012761488759312226,1
0.14538536071777344,0.00840280657199089,0.004537248611450195,0.0008484620649595009,10.0,1000,saga,"{'C': 10, 'max_iter': 1000, 'solver': 'saga'}",0.9606741573033708,0.9410112359550562,0.9325842696629213,0.9241573033707865,0.9295774647887324,0.9376008862161734,0.012761488759312226,1
